year	fips	prescription_rate_per_100
2006	12039	58.4
2006	12041	59.8
2006	12043	
2006	12045	118.2
2006	12047	58.5
2006	12049	56
2006	12051	79.7
2006	12053	101.3
2006	12055	73.7
2006	12057	110.5
2006	12059	85.3
2006	12061	99
2006	12063	79.3
2006	12065	65
2006	12067	28.1
2006	12069	85.4
2006	12071	92.8
2006	12073	78.9
2006	12075	96
2006	12077	13
2006	12079	74
2006	12081	91.1
2006	12083	92
2006	12085	82.8
2006	12086	33
2006	12087	110.2
2006	12089	101.7
2006	12091	117.2
2006	12093	100.5
2006	12095	62
2006	12097	63.7
2006	12099	73.7
2006	12101	110.2
2006	12103	100.5
2006	12105	85.7
2006	12107	102.1
2006	12109	81.4
2006	12111	68.5
2006	12113	110.3
2006	12115	91.3
2006	12117	67.5
2006	12119	51.1
2006	12121	76.4
2006	12123	104.4
2006	12125	59.3
2006	12127	97.2
2006	12129	76.2
2006	12131	105.2
2006	12133	139
2006	13001	88.9
2006	13003	49.4
2006	13005	145.7
2006	13007	
2006	13009	85
2006	13011	7
2006	13013	92
2006	13015	97.5
2006	13017	133.3
2006	13019	100.1
2006	13021	142
2006	13023	128.9
2006	13025	
2006	13027	75.7
2006	13029	55.4
2006	13031	78
2006	13033	72
2006	13035	85.6
2006	13037	
2006	13039	87
2006	13043	130
2006	13045	120
2006	13047	138.3
2006	13049	91.7
2006	13051	97.5
2006	13053	
2006	13055	103.4
2006	13057	75.5
2006	13059	113.4
2006	13061	108.6
2006	13063	52.1
2006	13065	114.7
2006	13067	74.9
2006	13069	145.7
2006	13071	72.5
2006	13073	91.3
2006	13075	84.3
2006	13077	83.8
2006	13079	
2006	13081	165.2
2006	13083	64.7
2006	13085	138.6
2006	13087	104.9
2006	13089	45.7
2006	13091	105.9
2006	13093	
2006	13095	116.8
2006	13097	103.3
2006	13099	104.8
2006	13101	
2006	13103	62.7
2006	13105	133.2
2006	13107	112.4
2006	13109	143.4
2006	13111	94.8
2006	13113	80.4
2006	13115	146.5
2006	13117	54.9
2006	13119	193.5
2006	13121	54
2006	13123	104.9
2006	13125	
2006	13127	129.1
2006	13129	119.3
2006	13131	59.8
2006	13133	101.8
2006	13135	58
2006	13137	121.2
2006	13139	100.4
2006	13141	
2006	13143	144.6
2006	13145	6.4
2006	13147	72.9
2006	13149	
2006	13151	79.3
2006	13153	112.6
2006	13155	78.1
2006	13157	96.9
2006	13159	46.8
2006	13161	127.1
2006	13163	125.8
2006	13165	50.2
2006	13167	48
2006	13169	31.5
2006	13171	70.4
2006	13173	
2006	13175	168.4
2006	13177	35
2006	13179	50.9
2006	13181	
2006	13183	
2006	13185	90.3
2006	13187	62.8
2006	13189	129.8
2006	13191	73.7
2006	13193	62.8
2006	13195	90.5
2006	13197	
2006	13199	47.2
2006	13201	131.9
2006	13205	73.1
2006	13207	77.7
2006	13209	
2006	13211	45.8
2006	13213	73.5
2006	13215	100
2006	13217	89.7
2006	13219	73.1
2006	13221	
2006	13223	69.1
2006	13225	86.1
2006	13227	119.1
2006	13229	51.1
2006	13231	
2006	13233	137.5
2006	13235	98
2006	13237	63.7
2006	13239	
2006	13241	142.6
2006	13243	67.8
2006	13245	89.9
2006	13247	95.6
2006	13249	
2006	13251	60.1
2006	13253	114.9
2006	13255	124.6
2006	13257	136.1
2006	13259	73.4
2006	13261	94.2
2006	13263	
2006	13265	
2006	13267	61.3
2006	13269	
2006	13271	0.1
2006	13273	
2006	13275	93.9
2006	13277	125.8
2006	13279	190.8
2006	13281	69.9
2006	13283	
2006	13285	74.8
2006	13287	80.9
2006	13289	29.9
2006	13291	146.9
2006	13293	92
2006	13295	31.8
2006	13297	93.6
2006	13299	212.2
2006	13301	
2006	13303	78.8
2006	13305	130.7
2006	13307	
2006	13309	
2006	13311	63.3
2006	13313	72.5
2006	13315	
2006	13317	118.1
2006	13319	
2006	13321	73.5
2006	15001	69.8
2006	15003	31.8
2006	15005	
2006	15007	87
2006	15009	56.8
2006	19001	38.1
2006	19003	75
2006	19005	54.8
2006	19007	109.9
2006	19009	55.6
2006	19011	
2006	19013	68
2006	19015	40.5
2006	19017	21
2006	19019	36.7
2006	19021	50.2
2006	19023	35.3
2006	19025	46.2
2006	19027	70
2006	19029	69.4
2006	19031	21.2
2006	19033	89.8
2006	19035	67.4
2006	19037	27.4
2006	19039	38.3
2006	19041	75.6
2006	19043	54.9
2006	19045	69
2006	19047	53.7
2006	19049	28.1
2006	19051	9.7
2006	19053	25.9
2006	19055	37.3
2006	19057	91.9
2006	19059	63.7
2006	19061	51.2
2006	19063	62.9
2006	19065	70.2
2006	19067	77.7
2006	19069	28.3
2006	19071	32.4
2006	19073	60.6
2006	19075	7
2006	19077	20
2006	19079	55.2
2006	19081	25.8
2006	19083	50.9
2006	19085	76.4
2006	19087	54.8
2006	19089	51.2
2006	19091	43.7
2006	19093	83.9
2006	19095	10.7
2006	19097	36
2006	19099	70.9
2006	19101	74.5
2006	19103	38.4
2006	19105	13.1
2006	19107	13
2006	19109	37.2
2006	19111	76.2
2006	19113	61.4
2006	19115	23.4
2006	19117	80.2
2006	19119	29.7
2006	19121	50.7
2006	19123	84.1
2006	19125	63.6
2006	19127	71.1
2006	19129	32.8
2006	19131	27.7
2006	19133	82.6
2006	19135	82.5
2006	19137	97.4
2006	19139	65.7
2006	19141	35.9
2006	19143	20.9
2006	19145	69.2
2006	19147	48.3
2006	19149	35.8
2006	19151	37.7
2006	19153	82.3
2006	19155	88.1
2006	19157	56.8
2006	19159	78
2006	19161	35
2006	19163	76.3
2006	19165	29.2
2006	19167	25
2006	19169	34.9
2006	19171	19.5
2006	19173	46.9
2006	19175	80.8
2006	19177	
2006	19179	94
